county_name, pop_total , pop_male , pop_female , hh_total , hh_conventional , hh_group_quarters , land_area_sqkm  , persons_per_sqkm  ,level
Bunyala,"85,977","41,465","44,511","19,039","19,028",11,192,447,Sub-county
Busia,"142,408","69,034","73,373","33,160","33,152",8,196,727,Sub-county
Butula,"140,334","65,136","75,195","32,213","32,199",14,247,568,Sub-county
Nambale,"111,636","52,900","58,732","23,892","23,889",3,238,469,Sub-county
Samia,"107,176","50,821","56,341","23,884","23,813",71,262,408,Sub-county
Teso North,"138,034","66,412","71,619","29,395","29,314",81,261,529,Sub-county
Teso South,"168,116","80,484","87,630","36,569","36,549",20,303,555,Sub-county
Siaya,"993,183","471,669","521,496","250,698","249,341","1,357","2,530",393,County
Siaya,"224,343","105,906","118,433","57,553","57,386",167,599,375,Sub-county
Gem,"179,792","85,696","94,092","44,884","44,696",188,405,444,Sub-county
Ugenya,"134,354","62,624","71,726","33,565","33,554",11,324,415,Sub-county
Ugunja,"104,241","48,912","55,329","26,328","26,321",7,201,519,Sub-county
Bondo,"197,883","95,962","101,917","51,362","50,454",908,599,330,Sub-county
Rarieda,"152,570","72,569","79,999","37,006","36,930",76,402,379,Sub-county
Kisumu,"1,155,574","560,942","594,609","300,745","296,846","3,899","2,085",554,County
Kisumu East,"220,997","108,304","112,689","61,871","61,499",372,142,"1,560",Sub-county
Kisumu Central,"174,145","84,155","89,985","52,331","52,163",168,37,"4,737",Sub-county
Kisumu West,"172,821","85,697","87,121","45,933","42,785","3,148",209,827,Sub-county
Seme,"121,667","57,658","64,007","29,404","29,404", - ,268,454,Sub-county
Muhoroni,"154,116","76,770","77,345","37,193","36,982",211,658,234,Sub-county
Nyando,"161,508","77,121","84,380","38,460","38,460", - ,446,362,Sub-county
Nyakach,"150,320","71,237","79,082","35,553","35,553", - ,327,460,Sub-county
